Category,Crop,Name of Variety,Variety/Hybrid,Sponsoring organization,State,Description,Extra
CEREALS,Rice,CR Dhan 416 (IET 30201),Variety,"ICAR-National Rice Research Institute,Cuttack, Odisha",West Bengal,"Suitable forcoastal saline areas,yield 48.97 q/ha, maturity 125-130 days, moderately resistant to brown spot, neck blast, sheath rot, rice tungro disease, glume discoloration, resistant to brown plant hopper, grasshopper and stem borer",
CEREALS,Rice,CR Dhan 416 (IET 30201),Variety,"ICAR-National Rice Research Institute,Cuttack, Odisha",Maharashtra,"Suitable forcoastal saline areas,yield 48.97 q/ha, maturity 125-130 days, moderately resistant to brown spot, neck blast, sheath rot, rice tungro disease, glume discoloration, resistant to brown plant hopper, grasshopper and stem borer",
CEREALS,Rice,CR Dhan 416 (IET 30201),Variety,"ICAR-National Rice Research Institute,Cuttack, Odisha",Gujarat,"Suitable forcoastal saline areas,yield 48.97 q/ha, maturity 125-130 days, moderately resistant to brown spot, neck blast, sheath rot, rice tungro disease, glume discoloration, resistant to brown plant hopper, grasshopper and stem borer",
CEREALS,Rice,CR DHAN 810(IET 30409),Variety,"ICAR- National Rice Research Institute, Cuttack, Odisha",Odisha,"Suitable forrainfed shallow low land, yield 42.38 q/ha, maturity 150 days, submergence tolerance for 14 days at early stage, moderately resistant to brown spot disease, moderately resistant to leaf folder and stem borer (dead heart)",
CEREALS,Rice,CR DHAN 810(IET 30409),Variety,"ICAR- National Rice Research Institute, Cuttack, Odisha",West Bengal,"Suitable forrainfed shallow low land, yield 42.38 q/ha, maturity 150 days, submergence tolerance for 14 days at early stage, moderately resistant to brown spot disease, moderately resistant to leaf folder and stem borer (dead heart)",
CEREALS,Rice,CR DHAN 810(IET 30409),Variety,"ICAR- National Rice Research Institute, Cuttack, Odisha",Assam,"Suitable forrainfed shallow low land, yield 42.38 q/ha, maturity 150 days, submergence tolerance for 14 days at early stage, moderately resistant to brown spot disease, moderately resistant to leaf folder and stem borer (dead heart)",
CEREALS,Rice,CR Dhan 108 (IET29052),Variety,"ICAR-National Rice Research Institute, Cuttack, Odisha",Odisha,"Suitable for earlydirect seeded rainfed condition, yield 34.46 q/ha, maturity 110-114 days, moderately resistance to leaf blast, neck blast, sheath blight, plant hopper, moderately tolerant to drought",
CEREALS,Rice,CR Dhan 108 (IET29052),Variety,"ICAR-National Rice Research Institute, Cuttack, Odisha",Bihar,"Suitable for earlydirect seeded rainfed condition, yield 34.46 q/ha, maturity 110-114 days, moderately resistance to leaf blast, neck blast, sheath blight, plant hopper, moderately tolerant to drought",
CEREALS,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana",Uttar Pradesh,"Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
CEREALS,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana",Haryana,"Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
CEREALS,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana",Tamil Nadu,"Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
CEREALS,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana",Karnataka,"Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
CEREALS,Rice,Swarna PurviDhan 5 IET 29036 (RCPR 68-IR83929-B-B-291-2-1-1-2),Open Pollinated Variety,"ICAR-Research Complex for Eastern Region, Patna, Bihar",Bihar,"Suitable fordirect seeded aerobic condition in droughtprone rainfedas well as water limiting areas duringKharif, yield (normal condition - 43.69 q/ha, under moderate drought condition - 29.02 q/ha), maturity early (110-115 days), contains high amount of Zinc (25.5 ppm) and Iron (13.1 ppm), resistant to neck blast and stem rot and moderate resistant to leaf blast, brown spot, and sheath rot, tolerant to major pests like stem borer (dead heart &white ears head), gall midge, leaf folder, gall midge, rice thrip",
CEREALS,Rice,Swarna PurviDhan 5 IET 29036 (RCPR 68-IR83929-B-B-291-2-1-1-2),Open Pollinated Variety,"ICAR-Research Complex for Eastern Region, Patna, Bihar",West Bengal,"Suitable fordirect seeded aerobic condition in droughtprone rainfedas well as water limiting areas duringKharif, yield (normal condition - 43.69 q/ha, under moderate drought condition - 29.02 q/ha), maturity early (110-115 days), contains high amount of Zinc (25.5 ppm) and Iron (13.1 ppm), resistant to neck blast and stem rot and moderate resistant to leaf blast, brown spot, and sheath rot, tolerant to major pests like stem borer (dead heart &white ears head), gall midge, leaf folder, gall midge, rice thrip",
CEREALS,Rice,Swarna PurviDhan 5 IET 29036 (RCPR 68-IR83929-B-B-291-2-1-1-2),Open Pollinated Variety,"ICAR-Research Complex for Eastern Region, Patna, Bihar",Jharkhand,"Suitable fordirect seeded aerobic condition in droughtprone rainfedas well as water limiting areas duringKharif, yield (normal condition - 43.69 q/ha, under moderate drought condition - 29.02 q/ha), maturity early (110-115 days), contains high amount of Zinc (25.5 ppm) and Iron (13.1 ppm), resistant to neck blast and stem rot and moderate resistant to leaf blast, brown spot, and sheath rot, tolerant to major pests like stem borer (dead heart &white ears head), gall midge, leaf folder, gall midge, rice thrip",
