Crop1,Crop2,Season1,Season2,Compatibility_Score,Soil_Impact
Rice,Maize,Kharif,Kharif,0.6,Negative
Rice,Sorghum,Kharif,Kharif,0.7,Neutral
Rice,Bajra,Kharif,Kharif,0.7,Neutral
Rice,Soybean,Kharif,Kharif,0.85,Positive
Rice,Cotton,Kharif,Kharif,0.7,Neutral
Rice,Groundnut,Kharif,Kharif,0.75,Neutral
Rice,Sesame,Kharif,Kharif,0.7,Neutral
Rice,Wheat,Kharif,Rabi,0.6,Negative
Rice,Barley,Kharif,Rabi,0.6,Negative
Rice,Mustard,Kharif,Rabi,0.75,Neutral
Rice,Chickpea,Kharif,Rabi,0.85,Positive
Rice,Lentil,Kharif,Rabi,0.85,Positive
Rice,Pea,Kharif,Rabi,0.85,Positive
Rice,Linseed,Kharif,Rabi,0.7,Neutral
Rice,Mung Bean,Kharif,Zaid,0.85,Positive
Rice,Pumpkin,Kharif,Zaid,0.7,Neutral
Rice,Cucumber,Kharif,Zaid,0.7,Neutral
Rice,Watermelon,Kharif,Zaid,0.7,Neutral
Maize,Rice,Kharif,Kharif,0.6,Negative
Maize,Sorghum,Kharif,Kharif,0.7,Neutral
Maize,Bajra,Kharif,Kharif,0.7,Neutral
Maize,Soybean,Kharif,Kharif,0.85,Positive
Maize,Cotton,Kharif,Kharif,0.7,Neutral
Maize,Groundnut,Kharif,Kharif,0.75,Neutral
Maize,Sesame,Kharif,Kharif,0.7,Neutral
Maize,Wheat,Kharif,Rabi,0.6,Negative
Maize,Barley,Kharif,Rabi,0.6,Negative
Maize,Mustard,Kharif,Rabi,0.75,Neutral
Maize,Chickpea,Kharif,Rabi,0.85,Positive
Maize,Lentil,Kharif,Rabi,0.85,Positive
Maize,Pea,Kharif,Rabi,0.85,Positive
Maize,Linseed,Kharif,Rabi,0.7,Neutral
Maize,Mung Bean,Kharif,Zaid,0.85,Positive
Maize,Pumpkin,Kharif,Zaid,0.7,Neutral
Maize,Cucumber,Kharif,Zaid,0.7,Neutral
Maize,Watermelon,Kharif,Zaid,0.7,Neutral
Sorghum,Rice,Kharif,Kharif,0.7,Neutral
