0,1,2,3,4,5,6,7
CEREALS,,,,,,,
,Rice,CR Dhan 416 (IET 30201),Variety,"ICAR-National Rice Research Institute,Cuttack, Odisha","West Bengal, Maharashtra,Gujarat","Suitable forcoastal saline areas,yield 48.97 q/ha, maturity 125-130 days, moderately resistant to brown spot, neck blast, sheath rot, rice tungro disease, glume discoloration, resistant to brown plant hopper, grasshopper and stem borer",
,Rice,CR DHAN 810(IET 30409),Variety,"ICAR- National Rice Research Institute, Cuttack, Odisha","Odisha, West Bengal, Assam","Suitable forrainfed shallow low land, yield 42.38 q/ha, maturity 150 days, submergence tolerance for 14 days at early stage, moderately resistant to brown spot disease, moderately resistant to leaf folder and stem borer (dead heart)",
,Rice,CR Dhan 108 (IET29052),Variety,"ICAR-National Rice Research Institute, Cuttack, Odisha","Odisha, Bihar","Suitable for earlydirect seeded rainfed condition, yield 34.46 q/ha, maturity 110-114 days, moderately resistance to leaf blast, neck blast, sheath blight, plant hopper, moderately tolerant to drought",
,Rice,CSR 101 (IET-30827),Variety,"ICAR-Central Soil Salinity Research Institute, Karnal, Haryana","Uttar Pradesh, Haryana, Tamil Nadu, Karnataka","Suitable for irrigatedalkaline/saline stress areas,yield of 35.15 q/ha (alkaline stress); 39.33 q/ha (saline stress) and 55.88 q/ha (normal condition), maturity 125-130 days, MAS derived NIL of Pusa 44 (possessing two genes for bacterial blight resistance xa13 and Xa21 andsaltolQTL for salt tolerance), resistant to salinity tolerance and bacterial blight",
,Rice,Swarna PurviDhan 5 IET 29036 (RCPR 68-IR83929-B-B-291-2-1-1-2),Open Pollinated Variety,"ICAR-Research Complex for Eastern Region, Patna, Bihar","Bihar, West Bengal, Jharkhand","Suitable fordirect seeded aerobic condition in droughtprone rainfedas well as water limiting areas duringKharif, yield (normal condition - 43.69 q/ha, under moderate drought condition - 29.02 q/ha), maturity early (110-115 days), contains high amount of Zinc (25.5 ppm) and Iron (13.1 ppm), resistant to neck blast and stem rot and moderate resistant to leaf blast, brown spot, and sheath rot, tolerant to major pests like stem borer (dead heart &white ears head), gall midge, leaf folder, gall midge, rice thrip",
,Rice,DRR Dhan 73 (IET 30242),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad","Karnataka, Odisha and Telangana","Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi,yield 60 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 40 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant toleafblast",
,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad","Karnataka, Maharashtra, Telangana, Jharkhand, and regions with P deficit soil of India","Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
,Rice,DRR Dhan 78 (IET 30240),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Karnataka and Telangana,"Suitable for irrigated and rainfed shallow low land areas withlow soil P for bothKharifandRabi, yield 58 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 46 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant to leaf blast and plant hoppers",
,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)","Tamil Nadu,Andhra Pradesh, Telangana and Puduchery","Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
,Wheat,Pusa Gehun Sharbati (HI 1665),Open pollinated Variety,"ICAR-Indian Agricultural Research Institute Regional Station, Indore, Madhya Pradesh","Maharashtra, Karnataka and Plains of Tamil Nadu","Suitable for timely sown,restricted irrigated condition, yield 33.0 q/ha, maturity 110 days, tolerant to heat and drought (heat sensitivity index 0.98 anddrought sensitivity index 0.91), excellent grain quality, bio-fortified with higher grain zinc content (40.0 ppm), resistant to leaf and stem rust",
,Durum Wheat,Pusa Gehun Gaurav(HI- 8840),Open Pollinated Variety,"Maharashtra, Karnataka and plains of Tamil Nadu","ICAR- Indian Agricultural Research Institute Regional Station, Indore- Madhya Pradesh","Suitable for irrigated conditions durum wheat variety, average grain yield  30.2 q/ha,terminal heat tolerant,resistance to stem and leaf rusts, biofortified durum wheat withhigher zinc(41.1 ppm) and iron (38.5 ppm) and protein content (~12%)",
,Barley,DWRB-219,Open Pollinated Variety,"Punjab, Haryana, Delhi, Rajasthan, (excluding Kota and Udaipur division), Western Uttar Pradesh (except Jhansi division), Jammu and Kathua district of Jammu and Kashmir, Paonta Valley and Una district of Himachal Pradesh and tarai region of Uttarakhand",ICAR- IIWBR (Indian Institute of Wheat & Barley Research) Karnal- Haryana,"Irrigated/ limited irrigationcondition of NWPZ,average yield54.49 q/ha,Maturity132 days, Resistant to yellow rustand moderately resistant for leaf rustdisease of barley, : Tolerant to lodging,Protein content: 11.4%",
,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi","Punjab, Haryana, Delhi, Uttarakhand (Plain), Uttar Pradesh (Western region), Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu","Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi","Punjab, Haryana, Delhi, Uttarakhand (Plain),Uttar Pradesh (Western region), Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu, Gujarat, Madhya Pradesh, Chhattisgarh, Rajasthan","Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
,Maize,Pusa HM4 Male Sterile Baby Corn-2 (ABSH4-2),Hybrid,ICAR- Indian Agricultural Research Institute New Delhi,"Bihar, Jharkhand, Odisha, Uttar Pradesh (Eastern region), West Bengal, Maharashtra, Karnataka, Andhra Pradesh, Telangana, Tamil Nadu, Gujarat, Madhya Pradesh, Chhattisgarh, Rajasthan","Suitable for irrigated conditions duringKharifseason, yield 19.56 q/ha (NEPZ), 14.07 q/ha (PZ) & 16.03 q/ha (CWZ), maturity 53 days,100% male sterility, no anther exertion, resistant to moderately resistant to charcoal rot",
,Maize,IMH 230 IMHSB 20R-6,Single cross Hybrid,"ICAR-Indian Institute of Maize Research, Ludhiana, Punjab","NEPZ viz.  Eastern Uttar Pradesh, Bihar, Jharkhand, Orissa, West Bengal.","Suitable for irrigatedRabiseason, high yield 92.36 q/ha,maturity 145.2 days, moderately resistant to biotic stresses, MLB, ChR and TLB, moderately tolerant toChilopartellus,fall armyworm",
,Maize,IMH 231 IMHSB 20K-10,Single cross Hybrid,"ICAR- Indian Institute of Maize Research, Ludhiana, Punjab","NEPZ viz. Eastern Uttar Pradesh, Bihar, Jharkhand, Orissa, West Bengal, Assam","Suitable forKharifirrigated condition, high yield 70.28 q/ha, maturity 90 days,moderately tolerant to water logging, tolerant to lodging,moderately resistant to TLB, MLB, resistant to FSR, moderately tolerantChilopartellus, fall armyworm",
,Maize,Pusa Popcorn Hybrid – 2 (APCH 3),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi","Maharashtra, Karnataka, Andhra Pradesh, Telangana and Tamil Nadu","Suitable for irrigatedRabiseason, yield 45.13 q/ha,maturity 102.5 days, moderately Resistant to TLB",
,Sorghum,DSH-6 (CSH-49) (SPH-1943),,"ICAR-AICRP on Sorghum and Small millets, University of Agricultural Sciences, Dharwad, Karnataka","Tamil Nadu, Karnataka, Telangana,Gujarat, Rajasthan","Suitable forrainfed ecologyKharifseason, grain yield 38.77 q/ha, fodder yield 116 q/ha, maturity early (100-105 days), non-lodging, fertilizer responsive, good stay green trait, moderately tolerant to grain mold disease, moderately susceptible to shoot fly",
,Pearl millet,MH 2417 (Pusa- 1801),Hybrid,NCT of Delhi,"ICAR - Indian Agricultural Research Institute, New Delhi","It is adual purposehybrid suitable forkharifcultivation under irrigated andrainfed conditions; high grain yield 33.34 q/ha and dry fodder yield 175 q/ha. It has highiron (70 ppm)  and zinc 57 ppmcontent; resistant to all five important diseases of pearl millet,vizdowny mildew, foliar blast, rust, smut and ergot.",
,Finger millet,VL Mandua- 402,Open Pollinated Variety,"ICAR-Vivekananda Parvatiya Krishi Anusandhan Sansthan, Almora, Uttarakhand",Uttarakhand,"Suitable forrainfed situations, average seed yield 2261 kg/ha, matures in 111 days, higher calcium (368 mg/100g) in comparison to the check VLMandua324 (294 mg/100g) and VL 376 (318.9 mg/100g)",
,Proso millet,CPRMV-1 (DHPM- 60-4/PMV 466),Open Pollinated Variety,"ICAR-AICRP on Sorghum and Small millets, University of Agricultural Sciences, Dharwad, Karnataka",Karnataka and Tamil Nadu,"Suitable forrainfedKharifseason, yield 24-26 q/ha, maturity 70-74 days, resistant to brown spot, leaf blast, leaf blight, moderately resistant to banded blight, tolerant to shootfly",
