Crop1,Crop2,Season1,Season2,Compatibility_Score,Soil_Impact,Category1,Category2,Soil_Impact_Numeric
rice,maize,Kharif,Kharif,0.6,Negative,Cereal,Cereal,-1
rice,sorghum,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
rice,bajra,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
rice,soybean,Kharif,Kharif,0.85,Positive,Cereal,Oilseed,1
rice,cotton,Kharif,Kharif,0.7,Neutral,Cereal,Fibre,0
rice,groundnut,Kharif,Kharif,0.75,Neutral,Cereal,Oilseed,0
rice,sesame,Kharif,Kharif,0.7,Neutral,Cereal,Oilseed,0
rice,wheat,Kharif,Rabi,0.6,Negative,Cereal,Cereal,-1
rice,barley,Kharif,Rabi,0.6,Negative,Cereal,Cereal,-1
rice,mustard,Kharif,Rabi,0.75,Neutral,Cereal,Oilseed,0
rice,chickpea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
rice,lentil,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
rice,pea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
rice,linseed,Kharif,Rabi,0.7,Neutral,Cereal,Oilseed,0
rice,mung bean,Kharif,Zaid,0.85,Positive,Cereal,Legume,1
rice,pumpkin,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
rice,cucumber,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
rice,watermelon,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
maize,rice,Kharif,Kharif,0.6,Negative,Cereal,Cereal,-1
maize,sorghum,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
maize,bajra,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
maize,soybean,Kharif,Kharif,0.85,Positive,Cereal,Oilseed,1
maize,cotton,Kharif,Kharif,0.7,Neutral,Cereal,Fibre,0
maize,groundnut,Kharif,Kharif,0.75,Neutral,Cereal,Oilseed,0
maize,sesame,Kharif,Kharif,0.7,Neutral,Cereal,Oilseed,0
maize,wheat,Kharif,Rabi,0.6,Negative,Cereal,Cereal,-1
maize,barley,Kharif,Rabi,0.6,Negative,Cereal,Cereal,-1
maize,mustard,Kharif,Rabi,0.75,Neutral,Cereal,Oilseed,0
maize,chickpea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
maize,lentil,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
maize,pea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
maize,linseed,Kharif,Rabi,0.7,Neutral,Cereal,Oilseed,0
maize,mung bean,Kharif,Zaid,0.85,Positive,Cereal,Legume,1
maize,pumpkin,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
maize,cucumber,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
maize,watermelon,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
sorghum,rice,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
sorghum,maize,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
sorghum,bajra,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
sorghum,soybean,Kharif,Kharif,0.85,Positive,Cereal,Oilseed,1
sorghum,cotton,Kharif,Kharif,0.7,Neutral,Cereal,Fibre,0
sorghum,groundnut,Kharif,Kharif,0.75,Neutral,Cereal,Oilseed,0
sorghum,sesame,Kharif,Kharif,0.7,Neutral,Cereal,Oilseed,0
sorghum,wheat,Kharif,Rabi,0.7,Neutral,Cereal,Cereal,0
sorghum,barley,Kharif,Rabi,0.7,Neutral,Cereal,Cereal,0
sorghum,mustard,Kharif,Rabi,0.75,Neutral,Cereal,Oilseed,0
sorghum,chickpea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
sorghum,lentil,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
sorghum,pea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
sorghum,linseed,Kharif,Rabi,0.7,Neutral,Cereal,Oilseed,0
sorghum,mung bean,Kharif,Zaid,0.85,Positive,Cereal,Legume,1
sorghum,pumpkin,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
sorghum,cucumber,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
sorghum,watermelon,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
bajra,rice,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
bajra,maize,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
bajra,sorghum,Kharif,Kharif,0.7,Neutral,Cereal,Cereal,0
bajra,soybean,Kharif,Kharif,0.85,Positive,Cereal,Oilseed,1
bajra,cotton,Kharif,Kharif,0.7,Neutral,Cereal,Fibre,0
bajra,groundnut,Kharif,Kharif,0.75,Neutral,Cereal,Oilseed,0
bajra,sesame,Kharif,Kharif,0.7,Neutral,Cereal,Oilseed,0
bajra,wheat,Kharif,Rabi,0.7,Neutral,Cereal,Cereal,0
bajra,barley,Kharif,Rabi,0.7,Neutral,Cereal,Cereal,0
bajra,mustard,Kharif,Rabi,0.75,Neutral,Cereal,Oilseed,0
bajra,chickpea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
bajra,lentil,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
bajra,pea,Kharif,Rabi,0.85,Positive,Cereal,Legume,1
bajra,linseed,Kharif,Rabi,0.7,Neutral,Cereal,Oilseed,0
bajra,mung bean,Kharif,Zaid,0.85,Positive,Cereal,Legume,1
bajra,pumpkin,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
bajra,cucumber,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
bajra,watermelon,Kharif,Zaid,0.7,Neutral,Cereal,Vegetable,0
soybean,rice,Kharif,Kharif,0.7,Neutral,Oilseed,Cereal,0
soybean,maize,Kharif,Kharif,0.7,Neutral,Oilseed,Cereal,0
soybean,sorghum,Kharif,Kharif,0.7,Neutral,Oilseed,Cereal,0
soybean,bajra,Kharif,Kharif,0.7,Neutral,Oilseed,Cereal,0
soybean,cotton,Kharif,Kharif,0.7,Neutral,Oilseed,Fibre,0
soybean,groundnut,Kharif,Kharif,0.75,Neutral,Oilseed,Oilseed,0
soybean,sesame,Kharif,Kharif,0.7,Neutral,Oilseed,Oilseed,0
soybean,wheat,Kharif,Rabi,0.7,Neutral,Oilseed,Cereal,0
soybean,barley,Kharif,Rabi,0.7,Neutral,Oilseed,Cereal,0
soybean,mustard,Kharif,Rabi,0.75,Neutral,Oilseed,Oilseed,0
soybean,chickpea,Kharif,Rabi,0.7,Neutral,Oilseed,Legume,0
soybean,lentil,Kharif,Rabi,0.7,Neutral,Oilseed,Legume,0
soybean,pea,Kharif,Rabi,0.7,Neutral,Oilseed,Legume,0
soybean,linseed,Kharif,Rabi,0.7,Neutral,Oilseed,Oilseed,0
soybean,mung bean,Kharif,Zaid,0.7,Neutral,Oilseed,Legume,0
soybean,pumpkin,Kharif,Zaid,0.7,Neutral,Oilseed,Vegetable,0
soybean,cucumber,Kharif,Zaid,0.7,Neutral,Oilseed,Vegetable,0
soybean,watermelon,Kharif,Zaid,0.7,Neutral,Oilseed,Vegetable,0
cotton,rice,Kharif,Kharif,0.7,Neutral,Fibre,Cereal,0
cotton,maize,Kharif,Kharif,0.7,Neutral,Fibre,Cereal,0
